Baseline,Q1_CAGR,Q1_Sharpe,Q1_MDD,LS_CAGR,LS_Sharpe,LS_Sortino,LS_MDD,Mean_IC,ICIR,Months
RandomForest,0.4367168639666361,1.4479543964279507,-0.28937589312191425,0.19572679903997603,1.0094222475123322,1.4739330926847103,-0.20272566525612146,0.1717759638567092,3.76885825167306,28
Ridge,0.4378186341040349,1.360174063452238,-0.2874588418853561,0.2438903357627369,0.9841783090354227,1.45178866775785,-0.1985365873888898,0.13544427277346532,1.8140101873342915,28
Mom12-1,0.5842496335290177,1.5748344440969644,-0.30788812562238976,0.18791075271088475,0.7423122450842445,1.0836562560689527,-0.3119539766535474,0.03796635538725019,0.4331796321311918,32
QualityROE,0.296483426799381,1.4338119652993702,-0.20124636470212653,-0.09758119544564103,-0.4202738979131737,-0.565450913334513,-0.32358134393306737,-0.005360889269642129,-0.08841208645198713,32
Reversal1M,0.1845845803467927,0.8117368006644768,-0.2579252197805363,-0.26286547660419357,-0.9837821001237126,-1.315778221816065,-0.6069164900210933,-0.04228738516890491,-0.6052799760844156,32
ValueEP,0.33481474285816715,1.5247218275267513,-0.17764601742131458,-0.2952733298701896,-0.9931870636189685,-1.3471506868806085,-0.700057276813231,-0.041301674107738176,-0.5302322896669064,32
ConservativeInv,0.2073469506237453,0.9468795616349984,-0.2580822743161231,-0.26380125994932146,-1.0602040234298113,-1.4544754624712541,-0.6674763773221082,-0.07754182030783863,-1.087354298085703,32
LowVol60D,0.04828612593403836,0.4202675031679559,-0.13805420542944247,-0.4675412498380067,-1.5332753038880014,-2.0531382367312263,-0.8357491550480023,-0.1373519489324251,-1.4910519947557352,32
Composite6,0.16091872659627882,0.97236610826941,-0.15166653421136322,-0.46261022376275773,-1.9046865268878315,-2.4366080060280773,-0.8277191526879644,-0.0884918784079401,-1.1778756450060006,32
