Model,alpha_ann_pct,alpha_t,alpha_p,beta_MKT,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_MOM,r2_adj,nobs
Random Forest,32.560061335276316,2.394411451862863,0.016647062499631105,0.06410146721863562,0.15015272589138437,-0.26450042449485817,-0.10876803413721352,0.0353168094786605,0.24303326047439192,0.07223807362597645,699
Ridge,25.601732400073107,1.7574353101781073,0.07884363914198511,0.23344776080683105,0.13523336484488452,-0.16795477242044624,-0.4209549462319121,0.3199533279636305,0.714862029796999,0.2227837892272153,699
12--1 Momentum,6.677057224807781,0.4759959692611467,0.6340772495086249,0.3306508405266176,0.010665857918364741,-0.06804365950598763,-0.43621319389115315,-0.4137142580202233,1.0992348536429948,0.42590671417409265,699
ROE Quality,2.010223726326976,0.19179891348602077,0.8478997220767992,-0.3183648026347191,-0.048155028802813506,-0.10382273990070745,0.3811184247898835,0.12989440713260336,-0.06362849890061842,0.11943082953417672,699
Value (E/P),-4.844633791027242,-0.3931123256727915,0.694236520892243,-0.6884657377612047,0.06231069925435674,0.36462598562461646,0.7100005651376364,0.34465012384548877,-0.7201779480564773,0.46918551462207625,699
Composite,-25.157890482637292,-2.040237923975763,0.0413266342126104,-0.772988322089637,0.012223288250628007,0.2572914968276691,0.6832049277550544,0.39130224723638163,-0.35764526604342867,0.3692652247139553,699
