ModelID,Model,Vendor,Mode,ModeLabel,Q1_CAGR,Q1_Vol,Q1_Sharpe,Q1_Sortino,Q1_MDD,Q1_Calmar,Q1_Hit,Q2_CAGR,Q2_Vol,Q2_Sharpe,Q2_Sortino,Q2_MDD,Q2_Calmar,Q2_Hit,Q3_CAGR,Q3_Vol,Q3_Sharpe,Q3_Sortino,Q3_MDD,Q3_Calmar,Q3_Hit,Q4_CAGR,Q4_Vol,Q4_Sharpe,Q4_Sortino,Q4_MDD,Q4_Calmar,Q4_Hit,Q5_CAGR,Q5_Vol,Q5_Sharpe,Q5_Sortino,Q5_MDD,Q5_Calmar,Q5_Hit,Q1_minus_Q5_CAGR,Q1_minus_Q5_Vol,Q1_minus_Q5_Sharpe,Q1_minus_Q5_Sortino,Q1_minus_Q5_MDD,Q1_minus_Q5_Calmar,Q1_minus_Q5_Hit
gpt-4o-2024-05-13,GPT-4o,OpenAI,return,Exp. Return,0.41050573310096694,0.29790790364504655,1.3013492394603625,1.9797888081631005,-0.3504079049313067,1.17150819751467,0.5404255319148936,0.28854494031410893,0.23757232269513842,1.1832347049960188,1.8027913493301952,-0.2840065447367476,1.015979897863157,0.5475177304964539,0.2248008759643163,0.18633172910221038,1.1795056194294122,1.7738320303557156,-0.22571333420197504,0.9959574464624131,0.5163120567375886,0.26498315163500585,0.19867615439775196,1.280901379865653,1.8958491569739087,-0.16196127525157755,1.636089560442164,0.5276595744680851,0.49085492879020953,0.2757158086898505,1.5834872405579121,2.602998249008553,-0.24311292280443397,2.019040876675508,0.5078014184397163,-0.09329248947172042,0.3115923176291294,-0.15696870068853105,-0.2130530939635422,-0.596621876936365,-0.15636786560823832,0.4879432624113475
gpt-4o-2024-05-13,GPT-4o,OpenAI,sharpe,Sharpe,-0.06161117774968061,0.2875648939200836,-0.0780774276849973,-0.11192771211502894,-0.5518313594725933,-0.11164856199648532,0.5106382978723404,0.14577288992039117,0.23522463980983463,0.6942388038781658,1.0401726699157547,-0.30521427409528357,0.47760836334568985,0.5134751773049645,0.12133643164267838,0.24780130295531042,0.5871918279564665,0.7728769229946312,-0.32450988853419016,0.37390673113461825,0.5475177304964539,0.4127429417101416,0.20699096602824602,1.770534226626775,2.7728724098462343,-0.17677659345025898,2.334828008925731,0.5049645390070922,0.9073100758656465,0.2934330282438269,2.345293757086476,3.7930963829678728,-0.2012646476960145,4.5080449361182735,0.5347517730496454,-0.5346438500046032,0.32062052331231067,-2.216448807242435,-2.752833013312217,-0.9130142135043956,-0.5855810808820768,0.43829787234042555
gpt-4o-2024-05-13,GPT-4o,OpenAI,sortino,Sortino,0.020389053344689323,0.28169472983873184,0.21107538021412117,0.30986486562244475,-0.33107552695042874,0.0615842962857902,0.5120567375886524,0.21472988846932006,0.22601514062334485,0.9715649126039907,1.463703178235355,-0.2918197158806476,0.7358306405765375,0.5390070921985816,0.2642268609202165,0.18516206748237424,1.3569050305895214,2.0038128776086848,-0.20345321431426222,1.2987106731677427,0.5460992907801419,0.5935049442942304,0.21522747351154733,2.2703315090505596,3.5967474653651963,-0.1385130421084826,4.284830765823488,0.5546099290780142,0.7786597214565543,0.28771711976608305,2.143159426708453,3.492634102140958,-0.19287207083778102,4.037182356544831,0.5219858156028369,-0.4540100808574439,0.3030412173679772,-1.8385777356830861,-2.3392170051832415,-0.8546938781402116,-0.5311961305319705,0.44680851063829785
gpt-4o-mini-2024-07-18,GPT-4o mini,OpenAI,return,Exp. Return,-0.053226480108553686,0.23929332072936135,-0.10911425909833024,-0.15701160540879383,-0.4373639150153382,-0.12169838041322419,0.5035460992907801,0.2891230769960895,0.19627623962065358,1.38989444776645,2.1481129515797335,-0.25759785498725707,1.1223815392810315,0.5319148936170213,0.5605593977027248,0.2378476634797611,1.9874240271213055,3.2089519688870825,-0.19646184200736283,2.853273653423837,0.5460992907801419,0.6192758295375904,0.27496688689860216,1.8873653098211634,3.0540410176119903,-0.1855884535818757,3.336823048985565,0.5390070921985816,0.45518569074385273,0.25646547534109987,1.5891948876839699,2.371279627031272,-0.21150073512096268,2.152170726420976,0.5418439716312057,-0.36993055654286444,0.2323520687907144,-1.8664948323258055,-2.45299671915728,-0.7949414987520638,-0.4653556986565662,0.43120567375886526
gpt-4o-mini-2024-07-18,GPT-4o mini,OpenAI,sharpe,Sharpe,-0.07034896326953977,0.24974042095144328,-0.16760618534584898,-0.24218759697399433,-0.47227885674004966,-0.14895641053069847,0.5163120567375886,0.4109956448541008,0.23365230601386322,1.586390008641591,2.593020881716173,-0.22456556315034948,1.8301810798075662,0.5531914893617021,0.5116594539719657,0.2234836464354609,1.9582758909946059,3.162200633531599,-0.17257832352899083,2.964795598365016,0.5418439716312057,0.6325175306944393,0.26825052944561484,1.9588540070731424,3.116207555944836,-0.16562183641453332,3.819046717434754,0.5276595744680851,0.4451673479900349,0.24548775096469158,1.620878137690989,2.473353152783087,-0.289273284679862,1.5389162137205321,0.5333333333333333,-0.373666343093363,0.23174543202963752,-1.8976156899424705,-2.529140547517979,-0.7788663148260343,-0.4797567130333839,0.42411347517730497
gpt-4o-mini-2024-07-18,GPT-4o mini,OpenAI,sortino,Sortino,-0.09235060361949732,0.23086179407996862,-0.3035052340069137,-0.4220642919063359,-0.4570668419625421,-0.20205054302990919,0.4921985815602837,0.3703586244443604,0.21584252321525743,1.5642685540290522,2.5428557878377593,-0.21348755440864253,1.7348019441706966,0.5446808510638298,0.45970835425059065,0.23068035095258838,1.7521010165087705,2.9001350582129923,-0.17829535538196573,2.578352942878115,0.5177304964539007,0.7982359419856884,0.2771454476527925,2.253880872663156,3.5802672138198877,-0.22372527864669678,3.5679291442351904,0.5673758865248227,0.5655529117109688,0.24965301146622,1.9179432055869292,3.009117106461743,-0.17929001720345672,3.154402685282719,0.5347517730496454,-0.4380749926525449,0.22721001869642407,-2.415774018595633,-3.1114735396918363,-0.8240998315565968,-0.5315800050888121,0.40709219858156026
gpt-4.1-2025-04-14,GPT-4.1,OpenAI,return,Exp. Return,0.9253433913069344,0.4048906100076848,1.8073673763607863,2.84446272139734,-0.3446077917486542,2.68520739653458,0.5531914893617021,0.2939259376946024,0.2332760506394514,1.2123694989397835,1.7915920570121842,-0.21724637386039614,1.3529613059662897,0.5288753799392097,0.10688001051429175,0.2103345922833299,0.583756382662648,0.8550451451645722,-0.18539705624247604,0.576492489581421,0.49240121580547114,0.005541996429814455,0.23535583133535237,0.1399408238997456,0.20200332338301785,-0.2655124887906657,0.020872827696567803,0.47720364741641336,-0.07073123048650543,0.24502336454080337,-0.17598132730005153,-0.2628487261412153,-0.26618141977920273,-0.265725648864511,0.425531914893617,1.0514088066359681,0.35033070927522353,2.211926034224275,3.480554564390118,-0.3115237894109826,3.375051416214255,0.541033434650456
gpt-4.1-2025-04-14,GPT-4.1,OpenAI,sharpe,Sharpe,1.2452121659102344,0.33331111072354114,2.5756470801996603,4.196120801171304,-0.22728421583412683,5.478656585721714,0.5714285714285714,0.3592246667724679,0.24277618165594841,1.3748987761080402,2.1275667559922162,-0.19524810526483305,1.8398368900185653,0.5075987841945289,-0.04987133269001731,0.23192359681641625,-0.10276878333668907,-0.14362652317351893,-0.22966979597212556,-0.21714362778495291,0.45592705167173253,-0.14677220769649002,0.23589991294143964,-0.5507251609467573,-0.7930992676728892,-0.31624600471612163,-0.464107705734465,0.425531914893617,-0.01869555133809364,0.34649478497587344,0.11791200185579405,0.17351624296216947,-0.3552723866275812,-0.052623147876931654,0.47416413373860183,1.1488552340505698,0.3395127338940973,2.408262824271969,3.797366427924007,-0.3043250920964101,3.775092044288654,0.5349544072948328
gpt-4.1-2025-04-14,GPT-4.1,OpenAI,sortino,Sortino,0.9386707356186719,0.3298238668823883,2.1572430092999095,3.41682662573705,-0.2392746481731155,3.9229844982972972,0.5531914893617021,0.44711191964287056,0.24253089882308163,1.63198155507,2.640886380888306,-0.14891197429576541,3.002524959845254,0.5227963525835866,-0.050604388593206706,0.223984033611879,-0.11820175487804899,-0.16802724310907913,-0.23538548217343958,-0.2149851729424832,0.44072948328267475,-0.15233266411098978,0.2901300619377211,-0.4199150858160473,-0.5724240608844829,-0.3671758611370214,-0.4148765761432852,0.45896656534954405,0.22053192037348834,0.32304208410391416,0.7711212137537657,1.2349304410441178,-0.2388987834449161,0.9231186412648155,0.49240121580547114,0.4966084174613319,0.35165664145384457,1.3149350037378185,1.952384972074042,-0.4948444683901696,1.0035646535100227,0.5015197568389058
gpt-4.1-mini-2025-04-14,GPT-4.1 mini,OpenAI,return,Exp. Return,1.2466094398655407,0.327357324785731,2.6187298973762094,4.322904591806818,-0.20798524042688815,5.9937399274433325,0.5683890577507599,0.2953891591367286,0.2703736806079647,1.084290280636328,1.6215841998724765,-0.26115919613642447,1.1310693381918018,0.5106382978723404,0.05001227616917525,0.21857171839265316,0.33026621694272335,0.4734843766414502,-0.21406928139245962,0.233626589690308,0.48328267477203646,-0.025038690623909177,0.24164582389499709,0.014661548754897526,0.022286136749000703,-0.29509709455930355,-0.08484899067305907,0.46808510638297873,-0.11489204224492988,0.3333002319127286,-0.19717282046136242,-0.2859241509364015,-0.3347829175986713,-0.3431837056353615,0.44072948328267475,1.3844667383522404,0.3458008447276009,2.669103255242792,4.45063867856809,-0.327770049638456,4.223896417257662,0.5227963525835866
gpt-4.1-mini-2025-04-14,GPT-4.1 mini,OpenAI,sharpe,Sharpe,1.375398523682466,0.3755971122946374,2.4748761854221084,4.017100457569196,-0.2766127216021016,4.972289472864274,0.5775075987841946,0.26645500981933123,0.2350973060346487,1.113684675911742,1.6949956353549565,-0.13097523630186347,2.034392281646452,0.5167173252279635,-0.09861584152250924,0.22174417526442874,-0.35395325357838753,-0.495416208310491,-0.2843541069833112,-0.34680646103098844,0.44984802431610943,0.1332164669779492,0.2408493413504722,0.6337812650232987,0.9594081348738982,-0.2649544350067563,0.5027901003980257,0.47720364741641336,-0.12784604544537026,0.25569686244575796,-0.40272884518986185,-0.5581615540042872,-0.30686168189817375,-0.41662433919590375,0.40425531914893614,1.6832011061061412,0.32276849280968484,3.198988977129124,5.654101079710419,-0.17361881561291448,9.69480813565081,0.574468085106383
gpt-4.1-mini-2025-04-14,GPT-4.1 mini,OpenAI,sortino,Sortino,0.607534955630894,0.3122877684078186,1.664913278659025,2.536908145624161,-0.2507577921959381,2.4227959191640034,0.5440729483282675,0.6063994042512597,0.2523289848744796,1.9898953351794133,3.171554606370773,-0.156334918349325,3.8788481207779895,0.5319148936170213,-0.01333280674646542,0.2720058755294748,0.08780519333872845,0.1178712616704412,-0.3389558858902759,-0.039334932070722056,0.49544072948328266,0.24557497238450754,0.2304159311620053,1.058225710089762,1.8544610992139055,-0.15369443702222585,1.5978130187561361,0.46200607902735563,-0.22141351429180745,0.33839078112714144,-0.5655411586202383,-0.8071572439719952,-0.41688434201354185,-0.5311149687761964,0.44376899696048633,0.9533417048823072,0.30551924171986244,2.328187130885312,3.952935143783967,-0.2416560348158615,3.945035784472505,0.5319148936170213
gpt-4.1-nano,GPT-4.1 nano,OpenAI,return,Exp. Return,0.7791900680443316,0.2994593002441537,2.0586067522337594,3.3531236722102657,-0.2102131109630141,3.7066673171561884,0.5440729483282675,0.13645409200260983,0.2606427038542649,0.6166181160531428,0.9076898082427852,-0.3023053432715219,0.4513783664089943,0.47112462006079026,0.12824474315481837,0.2673806514402554,0.579976280318833,0.870117848052062,-0.18864446476318664,0.679822454985941,0.49240121580547114,-0.0577244346514999,0.31770536920341186,-0.026530470367637147,-0.03673836758482668,-0.37408446704205256,-0.15430855792526352,0.46808510638297873,0.28825936759913806,0.25884986999844556,1.0982255053932874,1.7810958907751164,-0.20352712060576128,1.4163191949121412,0.48936170212765956,0.34630532304225503,0.2722986571186222,1.2199597740104446,1.824497703825758,-0.23848690862320332,1.452093639191739,0.5197568389057751
gpt-4.1-nano,GPT-4.1 nano,OpenAI,sharpe,Sharpe,0.5014018769158566,0.2650506226388221,1.6533723365667576,2.5455755418255586,-0.2370480087865403,2.115191262236523,0.5623100303951368,0.18262648654935965,0.2650981532957568,0.759560439822602,1.1405777583171701,-0.2466843616240435,0.7403245400196445,0.49240121580547114,0.20911084390570256,0.2729663412800109,0.8252689636911135,1.2496541537184829,-0.214920319964635,0.9729691633630156,0.5015197568389058,-0.0002587066301501517,0.28985846102858237,0.14346422359080752,0.20979341671007,-0.29856142195176627,-0.0008665105774849463,0.45592705167173253,0.18831486220647164,0.30606729715608394,0.7095320029942036,1.1281236111013029,-0.2686241009279525,0.7010348719863354,0.48936170212765956,0.20472901553892786,0.2673861054680754,0.8267550943668567,1.125235382314748,-0.25935302057883003,0.7893835787299062,0.547112462006079
gpt-4.1-nano,GPT-4.1 nano,OpenAI,sortino,Sortino,0.5274021681653995,0.2532124967660612,1.7865228693341257,2.7299803897026322,-0.23636974357144203,2.231259213622635,0.5592705167173252,0.12371441578527853,0.2657894886525549,0.5672546751466779,0.8369451270128928,-0.2512811790776752,0.4923345880474253,0.47720364741641336,0.10625860805655218,0.25600067233164986,0.5176894178717303,0.7852628669893617,-0.17946591858666505,0.5920823791690528,0.48936170212765956,0.01475143396871026,0.3226488256709809,0.20629779479926433,0.2935130144555438,-0.3579294690592252,0.04121324239516416,0.44984802431610943,0.46846966979168614,0.3120043761047662,1.375474292926776,2.2591797792096355,-0.16574813131693822,2.8263948804098042,0.49240121580547114,-0.011959704352625944,0.2631059860532342,0.08823789230056236,0.11522187705851587,-0.34667751423883175,-0.03449806768946286,0.5227963525835866
o4-mini,o4-mini,OpenAI,return,Exp. Return,0.779309558842473,0.3579058079654251,1.7761034427702522,2.779008406175523,-0.3028516209507641,2.573238856691372,0.5562310030395137,0.37676031801672805,0.32182311388292134,1.1452657457771396,1.7433072601756034,-0.27138697928665667,1.3882770610699386,0.49848024316109424,0.1125621312272076,0.2431911875759233,0.5571937179628466,0.766084255959022,-0.21072702410392585,0.5341608733187181,0.49544072948328266,-0.1080440181398129,0.1936199778177392,-0.48867128696909007,-0.6699353694780461,-0.22452874176761684,-0.48120350779695054,0.44072948328267475,0.05453693595086184,0.23886142904097424,0.3369432698401418,0.5724556874924505,-0.24106885225456942,0.2262297075744596,0.46200607902735563,0.6488702008067575,0.34154833670626444,1.6255239071844154,2.379064022809338,-0.436513400503484,1.4864840347589252,0.541033434650456
o4-mini,o4-mini,OpenAI,sharpe,Sharpe,0.7351691352067942,0.25760000110234926,2.2531104117547067,3.4318065135647244,-0.24412744130265285,3.0114153955162326,0.5866261398176292,0.36049364999852385,0.23773968230453338,1.4037231720085055,2.134739942709353,-0.19108767817513306,1.8865352985666044,0.49848024316109424,0.0983570261717368,0.25944557570402876,0.4863956296764847,0.7526944201820737,-0.20541531436614624,0.47882031812106546,0.48328267477203646,-0.1267109550280625,0.29466730524652407,-0.3108072555759141,-0.46173840870571153,-0.3111439981504338,-0.40724216369682154,0.4316109422492401,0.10228845420579158,0.38459026745762886,0.44074454129159824,0.6736272050669545,-0.3842424585241033,0.26620809839362164,0.46504559270516715,0.4084266119774589,0.37489560805970923,1.0960255993995491,1.5464849060165329,-0.42744386505874643,0.9555093554128473,0.5258358662613982
