InputSet,InputLabel,ModelID,Model,characteristic,Q1_minus_Q5,Q1_minus_Q5_t,Q1_minus_Q5_p,n_months
market_only,Market only,gemini-2.5-pro,Gemini 2.5 Pro,rev_1m,-0.10491071428571425,-1.152869625710874,0.24896390093502774,16
market_only,Market only,gemini-2.5-pro,Gemini 2.5 Pro,vol_60d,-0.3838169642857143,-15.033752318876244,0.0,16
market_only,Market only,gemini-2.5-pro,Gemini 2.5 Pro,ep_ratio,-0.29587339743589747,-2.3123186181731312,0.02076013142081856,16
market_only,Market only,gemini-2.5-pro,Gemini 2.5 Pro,roe,-0.04863782051282049,-2.0828466051836014,0.037265207911692855,16
market_only,Market only,gemini-2.5-pro,Gemini 2.5 Pro,asset_gr,-0.14995993589743586,-3.6611253280089,0.00025110987882071,16
market_only,Market only,claude-opus-4-20250514,Claude Opus 4,mom_12_1,0.2317460317460318,2.3377028526882304,0.019402668092640463,18
market_only,Market only,claude-opus-4-20250514,Claude Opus 4,rev_1m,-0.13167989417989423,-1.8758578721276737,0.06067479875442716,18
market_only,Market only,claude-opus-4-20250514,Claude Opus 4,vol_60d,-0.4273148148148148,-9.510770079664157,0.0,18
market_only,Market only,claude-opus-4-20250514,Claude Opus 4,ep_ratio,-0.35708689458689463,-3.6068926159235923,0.00030988582883439975,18
market_only,Market only,claude-opus-4-20250514,Claude Opus 4,roe,-0.03742877492877491,-2.182853110894261,0.029046628998376622,18
market_only,Market only,claude-opus-4-20250514,Claude Opus 4,asset_gr,-0.15274216524216522,-4.817282747041356,1.4552640292819774e-06,18
