InputSet,InputLabel,ModelID,Model,Vendor,alpha_ann_pct,alpha_t,alpha_p,beta_Mkt_RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_MOM,p_Mkt_RF,p_SMB,p_HML,p_RMW,p_CMA,p_MOM,r2_adj,nobs
both,Fund. + Market,o3,o3,OpenAI,127.71907962342026,3.3735346042846723,0.0007420971825391476,0.8557232623595651,-0.0597433513641396,-0.6980486696342245,-0.5996162958329901,0.28122020135464865,0.34016193916263,0.0,0.740688878443398,7.038466558029199e-06,0.013015382977489498,0.2359477734568074,0.025309525354694884,0.44736686297647343,323
both,Fund. + Market,gemini-2.5-pro,Gemini 2.5 Pro,Google,87.60557218061732,2.1368149142380894,0.03261304859309089,0.8300524033684409,-0.0597820147879478,-0.6376639270484024,-0.7542912975982139,0.3966274280370009,0.5081450378673762,6.182063749804456e-10,0.7590374375286579,0.0022412780815894706,0.0024324683014740334,0.13089091346021609,0.005235108154064472,0.3817482066840634,387
both,Fund. + Market,claude-opus-4-20250514,Claude Opus 4,Anthropic,129.61691857565717,3.1229641945728366,0.0017903952744360296,0.6819679711172303,-0.05953368122279994,-0.18342250998273943,-0.41558290038747,-0.06210094724310294,0.5881106283920201,0.00011635554530897707,0.8271339073222432,0.3612642387142677,0.125528599825373,0.8531987192461181,0.0066033155526212806,0.264867813241477,387
fundamentals_only,Fund. only,o3,o3,OpenAI,39.683547550240725,1.4851696531911145,0.1374988886808386,0.6759374185061499,0.048849046171350094,-0.8205474517738376,-0.36087398219094563,0.242272596658062,0.6724465914959888,1.1540839617296683e-07,0.8524377800897682,4.6172454521986595e-06,0.15051066529436574,0.33063951299693106,4.55127791028076e-05,0.44004516707154295,323
fundamentals_only,Fund. only,gemini-2.5-pro,Gemini 2.5 Pro,Google,24.875778183324428,1.088804774160402,0.27623998586295695,0.4984437522894325,-0.00017529447560327323,-0.9666702689055845,-0.2965292917192442,0.4762889091772606,0.6578075859667019,9.999449150033257e-06,0.9992128192882048,1.120881165661558e-12,0.2076768996938605,0.039854849426240735,1.0290416476488318e-05,0.44464421028870615,387
fundamentals_only,Fund. only,claude-opus-4-20250514,Claude Opus 4,Anthropic,12.209866640756339,0.7130081023802874,0.47584074341137317,0.550831450387974,-0.07094102900249848,-0.9557989837290568,-0.31669431659066305,0.26067727364059234,0.76411486164522,3.0400570949495886e-09,0.6187962441366366,3.993157360326904e-09,0.09170062542479229,0.19259640324287286,1.053543918771993e-10,0.564957909515247,387
market_only,Market only,o3,o3,OpenAI,156.50774384364152,4.065130803565953,4.8005530871142454e-05,0.7582528030817767,0.2018100977955951,-0.8141743678730204,-0.3634863025573165,0.38202060670895,0.6840782473736796,0.0,0.3764894560669909,8.8480182691697e-07,0.1333448804197821,0.1539987830621088,8.587823255234994e-05,0.4768779559551193,323
market_only,Market only,gemini-2.5-pro,Gemini 2.5 Pro,Google,116.78231055134071,2.835102582574568,0.00458109730795786,1.0199002784222315,-0.4343849142153627,-0.8614105941542861,-0.43158205024786633,0.8481813440974848,0.3233415404657026,1.6108935074754527e-08,0.12330186908249718,2.2840755026454218e-05,0.17366694116117687,0.0005144495695019735,0.10929379204158707,0.4234419877270382,387
market_only,Market only,claude-opus-4-20250514,Claude Opus 4,Anthropic,143.64239087422024,3.8304148057448306,0.00012792742057854412,0.5760354380204419,0.1608354069234922,-0.7831057334333272,-0.440939857146195,0.9697747541123971,0.7895991173517487,0.00022305726018911898,0.49262800024513465,1.3909176936666157e-05,0.07612380998367341,6.747938063655923e-05,1.6900191586621816e-05,0.4417056876725083,387
