Ranker,ModelCount,Start,End,IC_CI95_Low,IC_CI95_High,Q1_CAGR,Q1_Sharpe,Q1_MDD,LS_CAGR,LS_Sharpe,LS_Sortino,LS_MDD,Mean_IC,ICIR,Months,Avg_Names,Min_Names,Avg_Q1_Turnover,Avg_Q5_Turnover,Avg_LS_Turnover,Max_LS_Turnover
Nine-model consensus,9,2025-07,2025-12,0.3323481116584564,0.7688013136288997,2.4463948014105856,4.242862997374129,-0.08408127464990911,4.742213430551836,5.4367383593050596,10.428491167282083,-0.07500020885156289,0.5491789819376025,6.631957092218262,6,29.333333333333332,29,0.8666666666666666,1.0666666666666669,1.9333333333333336,2.2
OpenAI 4.1 consensus,3,2025-05,2025-12,0.27550133415435135,0.6873824917898189,2.0481542771124825,4.063589248346034,-0.08454334254780749,3.068109294812503,4.4878861371989,8.232749888438315,-0.07858368656458092,0.4857142857142856,5.5105882524693675,8,29.0,28,1.0476190476190477,1.0571428571428572,2.104761904761905,3.0
OpenAI reasoning consensus,2,2025-05,2025-12,0.34143780788177336,0.7850369458128077,2.922932864361893,4.5815543984651335,-0.10918988864489798,4.289191174548768,5.387143184199017,10.19226617926347,-0.09272293483341398,0.5673645320197044,6.08045664321067,8,29.0,29,0.6666666666666666,0.9714285714285715,1.638095238095238,2.1999999999999997
Gemini 2.5 consensus,2,2025-07,2025-12,0.3078817733990147,0.7798029556650246,2.4163569152057294,3.9194015601300625,-0.14626358658476046,4.541923010112577,4.86435808757239,8.738117853905656,-0.14850673472717146,0.5420361247947455,5.936568685334494,6,29.0,29,0.8666666666666666,0.9600000000000002,1.8266666666666667,2.6
Claude 4 consensus,2,2025-06,2025-12,0.33668953788411915,0.7613194933145668,1.6211267958422977,3.4588152713291205,-0.10918338021779084,3.1721284833544425,4.573788217103472,8.349916480889837,-0.08027475841654463,0.5596606458675424,6.926501826019403,7,28.857142857142858,28,0.8888888888888888,1.3333333333333333,2.222222222222222,3.0
Low-cost consensus,3,2025-07,2025-12,0.27627257799671584,0.751477832512315,2.02547417988765,4.047771248116176,-0.08454334254780749,3.7935331426802286,4.888747505660141,9.068516548475694,-0.07955221943669577,0.5154351395730705,5.636041112636588,6,29.333333333333332,29,0.9999999999999998,0.9866666666666667,1.9866666666666668,2.666666666666667
