mode,model,display,factor_model,alpha_ann,alpha_daily,alpha_t,alpha_p,r2,r2_adj,nobs,beta_Mkt_RF,t_Mkt_RF,p_Mkt_RF,beta_SMB,t_SMB,p_SMB,beta_HML,t_HML,p_HML,beta_MOM,t_MOM,p_MOM,beta_RMW,t_RMW,p_RMW,beta_CMA,t_CMA,p_CMA
return,gpt-4o-2024-05-13,GPT-4o,CAPM,0.09187114078201963,0.000348842051134384,0.7066156715073726,0.4798053473451027,0.5836880726351774,0.583090781491182,699,1.487261998915258,28.84751599096463,5.443756071086417e-183,,,,,,,,,,,,,,,
return,gpt-4o-2024-05-13,GPT-4o,FF3,0.10234395107491112,0.0003867365781797484,0.8306281322001171,0.406183737225261,0.6255797760243799,0.6239635736187297,699,1.42755540000882,29.971868238177564,2.2833868260055984e-197,-0.13506087245710183,-2.017022292493558,0.043693186984388045,-0.4720303713484527,-6.6228140618397,3.524242229622103e-11,,,,,,,,,
return,gpt-4o-2024-05-13,GPT-4o,Carhart4,0.08818953548122477,0.0003354345736438339,0.7209490029685456,0.47094089170266995,0.6300705653620021,0.6279384072372873,699,1.4136944954791397,31.526696025418524,3.742072170856803e-218,-0.07023192720919035,-0.9812093481818094,0.3264895151889893,-0.41611938254629793,-6.186070079003058,6.168259488714476e-10,0.169454495115422,2.2958247434274384,0.021685904079476518,,,,,,
return,gpt-4o-2024-05-13,GPT-4o,FF5,0.08412590757679328,0.00032058330907754843,0.6978141568172741,0.48529342449869783,0.6284828128544799,0.6258023136687259,699,1.4132884656787459,30.597577099948673,1.318249070473267e-205,-0.15205505661916674,-1.8549791423280815,0.06359920512937359,-0.41981905426239563,-5.399011158637986,6.700920661850626e-08,,,,-0.08359090544598943,-0.6392685047873936,0.5226482736596776,-0.21224936022177518,-1.650459748551578,0.09884893942545112
return,gpt-4o-2024-05-13,GPT-4o,FF6,0.07716696520133537,0.0002950213443692304,0.6425785970957375,0.520497574551235,0.6315046842300298,0.6283096381395388,699,1.4055256795818767,30.2070645857495,1.9130197889150197e-200,-0.09191944400207662,-1.1455940238738551,0.25196317115053213,-0.386847664869204,-5.1251073565005045,2.9736825760200103e-07,0.14388067473779226,1.9334931515054292,0.05317547592975108,-0.05960152276468317,-0.48289973004888603,0.6291669334874537,-0.1548762123129899,-1.1709684118018395,0.24161147446236053
return,gpt-4o-mini-2024-07-18,GPT-4o mini,CAPM,-0.24249010865388798,-0.0011014512258576796,-3.017251462972388,0.0025507811598858795,0.5470543905874203,0.5464045403587079,699,1.1566106493606998,25.523312559758466,1.086556440339263e-143,,,,,,,,,,,,,,,
return,gpt-4o-mini-2024-07-18,GPT-4o mini,FF3,-0.2497702557731618,-0.001139730147501722,-3.1207320111624464,0.001804021253115436,0.5541285453458916,0.5522039203617732,699,1.1737066742639817,26.76690028491849,7.85084326283949e-158,-0.15035834731840764,-2.5284012590775533,0.011458331207002402,-0.04512055158984442,-0.7006134950998507,0.48354425420980995,,,,,,,,,
return,gpt-4o-mini-2024-07-18,GPT-4o mini,Carhart4,-0.24223837800560988,-0.0011001341925363378,-3.0205245948462287,0.0025233721340614905,0.5582743223207545,0.5557283529969548,699,1.1844048088982975,30.201845170266044,2.240065396655491e-200,-0.20039467669198444,-3.2998955607431033,0.0009672081544176892,-0.08827381654902096,-1.3244330806482467,0.18535925413922993,-0.13078850656916327,-2.0378142190786486,0.04156851581441861,,,,,,
return,gpt-4o-mini-2024-07-18,GPT-4o mini,FF5,-0.24440966471675518,-0.0011115085393628296,-3.1059813792408546,0.0018964865774364979,0.554954248599484,0.551743240292121,699,1.177861358091603,27.737808079377995,2.4448869942351688e-169,-0.15033905766847774,-2.2709697580213386,0.0231488087490631,-0.06279691419155196,-0.9923992979152036,0.3210027813201445,,,,0.0163478669617721,0.21028561623586528,0.8334447608909852,0.09629458559790893,0.8154220759796341,0.41483075211632736
return,gpt-4o-mini-2024-07-18,GPT-4o mini,FF6,-0.24018503815703007,-0.0010894075396974908,-3.036979639008038,0.0023896159650210625,0.5584550028726394,0.5546265780420554,699,1.184573100904988,29.908037021265514,1.5469814078835518e-196,-0.20233260235394898,-3.017126007719083,0.002551837113087808,-0.0913041386655519,-1.3479935583276497,0.17766045447059253,-0.12439993484374855,-2.0136259592118457,0.044048818858656275,-0.0043934705940510375,-0.05418765298787998,0.9567856577203775,0.046689481405560014,0.42016062659724823,0.6743681158546293
