display,mode,CAPM,FF3,Carhart4,FF5,FF6
Claude Haiku 4.5,return,4.30415267614989,4.742136569720617,4.74685517367251,4.707573344952029,4.694706984165211
Claude Haiku 4.5,sharpe,2.54238143833982,2.716828180710883,2.659306963155464,2.3378035908849535,2.340862259707591
Claude Haiku 4.5,sortino,3.3525936004809216,3.658412220100437,3.7102084109264735,3.7834856852476686,3.7735653220947505
Claude Opus 4,return,3.090790787926273,3.3245996870213186,3.1528453158490692,3.2197683600358666,3.122964194574247
Claude Opus 4,sharpe,1.6840404640910154,1.5070835390746826,1.574435875538791,1.55048105602765,1.609042240215236
Claude Opus 4,sortino,2.6733507812934385,2.671301945592114,2.717924002422155,2.8654400947496868,2.922221893807516
Claude Sonnet 4,return,3.8367749420017536,4.225509943691596,4.079258554506242,4.225763261495314,4.12428992247347
Claude Sonnet 4,sharpe,3.4562655196479284,3.4356065772290014,3.3605756881449844,3.659614640823397,3.6338731011313787
Claude Sonnet 4,sortino,0.5434474560394762,0.4893291930172234,0.5294258960602833,0.6226617051671206,0.6417821278313093
GPT-4.1,return,2.199619791849005,2.604098120561792,2.3959982030942952,2.287936560008396,2.246075019406752
GPT-4.1,sharpe,2.4021358122914083,2.453293100661738,2.532370066237938,2.3561049402806375,2.4674282519712674
GPT-4.1,sortino,1.2419398253062925,1.357266394064938,1.3982756740408155,1.2042313896865442,1.2373731113267559
GPT-4.1 mini,return,2.5484206166785777,2.6348126044951594,2.561591296771899,2.578633436732989,2.5712915298352765
GPT-4.1 mini,sharpe,2.268244942437444,2.500267335153863,2.397703866101775,2.333467648061106,2.3192126478901693
GPT-4.1 mini,sortino,1.4141693830347222,1.4573157541833077,1.25357840526947,1.1709436773146995,1.1510103899351378
GPT-4o,return,-0.4523416892583913,-0.39648314023394227,-0.44811903945773307,-0.5427334134939235,-0.5623260043181104
GPT-4o,sharpe,-3.344753559636804,-3.384303579234444,-3.3413857313747894,-3.3109882251866356,-3.286792303196817
GPT-4o,sortino,-2.779005468551425,-2.925068198329085,-2.9001946004283075,-2.930017123310914,-2.912711047778177
GPT-4o mini,return,-3.1231926562952084,-3.229676360182705,-3.0881122693441454,-3.282349764855386,-3.1682558121474
GPT-4o mini,sharpe,-3.19384264371571,-3.287495107717984,-3.084895250443805,-3.129037003034893,-3.015117815829265
GPT-4o mini,sortino,-3.9405592571288364,-4.064884468079204,-4.018120958987134,-4.013405618248012,-3.9983310514467467
Gemini 2.5 Flash,return,2.4350931174083,2.837823990565266,2.653821673083167,2.6944457954292265,2.5952575190271645
Gemini 2.5 Flash,sharpe,0.5046691686826666,0.5630692202476026,0.5618969333784682,0.6104955506873916,0.6098060547108323
Gemini 2.5 Flash,sortino,1.0130687624971204,0.9852411562661793,1.0534703114335653,0.9981456665882031,1.0678607979232821
Gemini 2.5 Pro,return,2.0245520250204434,2.4391839599128344,2.266004979472391,2.2240026158217003,2.136814914239775
Gemini 2.5 Pro,sharpe,0.9977231053052737,1.0188216515038904,1.1185420629108869,0.9778384772394016,1.0724138692926724
Gemini 2.5 Pro,sortino,1.866757737600145,1.840857699185798,1.9771883593886228,2.094595754860609,2.203935598744117
Gemini 3 Flash,return,4.8298901443164945,5.830054627128411,5.6409333700448485,5.479123403934319,5.388129009235877
Gemini 3 Flash,sharpe,3.127551613655854,3.199176596325611,3.153405339759007,3.381812013304045,3.3764006300006497
Gemini 3 Flash,sortino,2.823389415389447,2.7500921069765556,2.779371764147846,2.886657740195167,2.9331583665847623
Gemini 3 Pro,return,3.231517197817385,3.7071165888281854,3.573654037751093,3.5413936009290263,3.480592162469033
Gemini 3 Pro,sharpe,4.405165590391936,4.631880693363667,4.616546419063293,4.653179705673864,4.636736701009637
Gemini 3 Pro,sortino,4.057880411221062,4.038272943989672,4.034140311187427,4.278336133217333,4.292968816741839
