ModelID,Model,Vendor,alpha,t,p,MKT,SMB,HML,RMW,CMA,MOM,p_MKT,p_SMB,p_HML,p_RMW,p_CMA,p_MOM,R2,nobs
gpt-4o-2024-05-13,GPT-4o,OpenAI,-14.19664897048869,-0.5377357842578508,0.5907594707745338,0.33581853726603955,0.0690159230515415,-0.2842500357537557,-0.031330630244013696,-0.4969236989535883,0.17330838789372252,0.00756572015506185,0.6577259707982757,0.12100159456370108,0.9066536944019243,0.0775063377641918,0.2911918971611076,0.07579085426987286,406
gpt-4o-mini-2024-07-18,GPT-4o mini,OpenAI,-54.76878518717232,-4.523264619102295,6.089303134171331e-06,-0.0639863071761885,-0.14080489505265542,0.20845917857369878,0.07017657266483873,0.5772119525408573,-0.38444391840947617,0.5788895316487626,0.3825543774490905,0.10661344358048308,0.6828226015337511,0.002988266628141778,0.00302302572700075,0.13362078084502294,365
gpt-4.1-2025-04-14,GPT-4.1,OpenAI,250.1824175882752,4.729251041097925,2.253495999360311e-06,1.2339675756047817,-0.476477296545203,-0.36052572551521306,-0.9220998655111875,-0.23461123691753938,0.35891327391480116,7.148948100166308e-11,0.05470394921950472,0.13582626481037052,0.000241591571017441,0.5104615985603147,0.11754451852978498,0.44756686587802585,178
gpt-4.1-mini-2025-04-14,GPT-4.1 mini,OpenAI,225.51833282432003,3.375009822094992,0.0007381305637927937,0.5530937860902277,0.11746249249107843,0.10451190073984352,-0.6106939419966907,-0.6072426344830347,0.6917418750396692,0.0477192798928181,0.7517909301175045,0.761648500194184,0.06399592207747595,0.17633339618898636,0.01061823101927617,0.281456365137986,178
gpt-4.1-nano,GPT-4.1 nano,OpenAI,96.57045914285803,2.390059545093787,0.016845641379305887,0.7441732264585875,-0.1793402245795254,-0.11125980034567279,0.22094144734495907,-0.3892839887418516,-0.03675179786502963,0.0007491237629866365,0.5193771411052746,0.6146008408379071,0.4813184161868518,0.3896915759285817,0.8731608758832179,0.10286554009237026,178
o4-mini,o4-mini,OpenAI,230.12670801579725,4.612034983935805,3.987458622400908e-06,1.2401320365097157,-0.44924233848123396,-0.308392773216861,-0.6925813584657061,-0.42464650216485367,0.31613757154328237,3.597122599785507e-13,0.06487929739144604,0.17320375582151248,0.0045287730866601095,0.2179037572994571,0.13985572986168027,0.44184405872540045,178
o3,o3,OpenAI,350.772458322714,5.709539398997455,1.132823301830399e-08,1.1526480212553345,-0.4675374343598896,-0.28590564413121655,-0.6749339500636583,-0.21664874954473126,0.25415352124233875,1.6606831465537653e-09,0.07279634533535306,0.18850454681011342,0.007904798315204964,0.510196897373465,0.2653633379534641,0.3489314691179288,178
gemini-2.5-flash,Gemini 2.5 Flash,Google,284.65378231094104,4.671153450297352,2.9951307676245875e-06,1.331552299322276,-0.3164028506707729,-0.0818757866361676,-0.32461412930158257,-0.5432482585117245,0.5828572592061982,2.0654232102401693e-08,0.37334711285986244,0.7836927049159519,0.26269434612167797,0.18596077341538964,0.06680246744663054,0.4800143179333979,137
gemini-2.5-pro,Gemini 2.5 Pro,Google,340.22318278179836,4.709890993032296,2.47849314005677e-06,1.4855611826130557,-0.4735889185026061,-0.2735769653859458,-0.4804697031106767,-0.3994926197941202,0.5064934063702611,1.792571424630296e-09,0.16339084069331467,0.34496503209150386,0.0744430903581268,0.42971977576990206,0.11794782055502373,0.5015577918634806,137
claude-sonnet-4-20250514,Claude Sonnet 4,Anthropic,182.9262241563655,5.024608608169749,5.044602577886081e-07,0.9483260242541619,-0.4554336445813201,-0.09128261505758781,-0.39916846967599157,-1.0232061016198277,0.4532452288216242,3.6765220090551054e-06,0.07946449470223671,0.6808585677886283,0.1636924783251712,0.004458381843109205,0.027177413526087157,0.5187189266876543,157
claude-opus-4-20250514,Claude Opus 4,Anthropic,260.974276995091,3.332287853883375,0.0008613511335080482,1.0361840724087186,0.009016369037937753,0.2189948569621787,0.26114047434050924,-1.3911586783762062,0.11798327622313408,1.4926241651114225e-05,0.9782016206281925,0.5042406833585495,0.39973638543703993,0.01748152339734088,0.6884420045473068,0.250370556154087,157
