Q1_CAGR,Q1_Sharpe,Q1_MDD,LS_CAGR,LS_Sharpe,LS_Sortino,LS_MDD,Mean_IC,ICIR,Months,Avg_Names,Min_Names,Avg_Q1_Turnover,Avg_Q5_Turnover,Avg_LS_Turnover,Max_LS_Turnover,Panel,Ranker,Vendor,Mode,Order,CostBps
0.7562907223844013,1.89552703492703,-0.2814851604833304,0.5067913631837107,1.879964705704065,2.801668400526107,-0.17683810378093912,0.17395197395197393,3.3392829657173904,15,27.0,27,1.0,1.4285714285714286,2.4285714285714284,3.2666666666666666,Baseline,Random Forest,Non-LLM,baseline,0,0.0
0.7160612029396427,1.8234641011317847,-0.2854355134117966,0.42556474455715243,1.6441574958613887,2.425352522605975,-0.18708526709906625,0.17395197395197393,3.3392829657173904,15,27.0,27,1.0,1.4285714285714286,2.4285714285714284,3.2666666666666666,Baseline,Random Forest,Non-LLM,baseline,0,20.0
0.676663915941758,1.750619953315562,-0.2893758931219135,0.3483375568364018,1.400358103605663,2.043053394132816,-0.19726836168808415,0.17395197395197393,3.3392829657173904,15,27.0,27,1.0,1.4285714285714286,2.4285714285714284,3.2666666666666666,Baseline,Random Forest,Non-LLM,baseline,0,40.0
0.5633126340611443,1.5285002620354144,-0.3011371929421691,0.13890550389237188,0.6586912259102501,0.9195131094770194,-0.23230656439129826,0.17395197395197393,3.3392829657173904,15,27.0,27,1.0,1.4285714285714286,2.4285714285714284,3.2666666666666666,Baseline,Random Forest,Non-LLM,baseline,0,100.0
0.7029846992044491,1.804374236239101,-0.2845976764829671,0.5049590692685046,1.6938953251665727,2.5243663522893116,-0.15585744868581874,0.1614163614163614,3.01351599124711,15,27.0,27,0.7857142857142858,0.8285714285714286,1.614285714285714,2.9333333333333336,Baseline,Ridge,Non-LLM,baseline,1,0.0
0.671798428933696,1.7474443896150826,-0.2860289099223223,0.4486788260941834,1.5447221819314139,2.2857137726713224,-0.15763720339092813,0.1614163614163614,3.01351599124711,15,27.0,27,0.7857142857142858,0.8285714285714286,1.614285714285714,2.9333333333333336,Baseline,Ridge,Non-LLM,baseline,1,20.0
0.6411246769202683,1.6899417245882857,-0.28745884188535575,0.39429139024096393,1.3934086498513862,2.043816843601485,-0.15941695809603784,0.1614163614163614,3.01351599124711,15,27.0,27,0.7857142857142858,0.8285714285714286,1.614285714285714,2.9333333333333336,Baseline,Ridge,Non-LLM,baseline,1,40.0
0.5521041765687655,1.514577963445877,-0.2917408289165301,0.2419266027295799,0.9365375507851178,1.3275374726417264,-0.164756222211367,0.1614163614163614,3.01351599124711,15,27.0,27,0.7857142857142858,0.8285714285714286,1.614285714285714,2.9333333333333336,Baseline,Ridge,Non-LLM,baseline,1,100.0
0.5770581164822148,1.5142814429596934,-0.305030011076042,0.27035025218609543,0.9704165740100775,1.446962135487805,-0.27987865149006186,0.006174055829228235,0.09090286672894748,15,29.0,29,0.45238095238095244,0.6000000000000002,1.0523809523809526,1.7999999999999998,Baseline,12--1 Momentum,Non-LLM,baseline,2,0.0
0.5592069164635225,1.4798363553896725,-0.3064597034497951,0.23792606693747342,0.8807799390575144,1.3080976796948143,-0.29607901380082724,0.006174055829228235,0.09090286672894748,15,29.0,29,0.45238095238095244,0.6000000000000002,1.0523809523809526,1.7999999999999998,Baseline,12--1 Momentum,Non-LLM,baseline,2,20.0
0.5415341355756551,1.4452529707910218,-0.3078881256223899,0.20624782300522493,0.7906033279901178,1.1691844485540006,-0.31195397665354807,0.006174055829228235,0.09090286672894748,15,29.0,29,0.45238095238095244,0.6000000000000002,1.0523809523809526,1.7999999999999998,Baseline,12--1 Momentum,Non-LLM,baseline,2,40.0
0.4895708166432211,1.3408131828879635,-0.3121657709332284,0.11553692247899794,0.5189620672502543,0.7566086526796912,-0.3576836624892913,0.006174055829228235,0.09090286672894748,15,29.0,29,0.45238095238095244,0.6000000000000002,1.0523809523809526,1.7999999999999998,Baseline,12--1 Momentum,Non-LLM,baseline,2,100.0
0.1941708445370518,0.9747931238858512,-0.19448853409767675,-0.11354824030712563,-0.5209300003455485,-0.6805148265686246,-0.23202402231517305,-0.02914122914122914,-0.9007652857642392,15,27.0,27,0.11904761904761904,0.17142857142857143,0.29047619047619044,0.7333333333333334,Baseline,ROE Quality,Non-LLM,baseline,3,0.0
